Timestamp(us), ax, ay, az, gx, gy, gz, mx, my, mz,period
3533657836,2556,4324,-15075,167,-115,70,-137,290,-1573,0
3533677825,2822,4040,-14992,156,-59,-32,-107,279,-1548,0
3533697814,2819,4333,-15036,190,-97,-9,-131,279,-1598,0
3533717803,2657,4571,-15158,155,-61,11,-131,273,-1559,0
3533737792,2313,3939,-15025,119,41,-23,-131,302,-1559,0
3533757781,2250,4050,-15133,125,115,59,-137,273,-1609,0
3533777770,2510,4252,-15319,73,87,75,-107,285,-1573,0
3533797760,2768,4048,-14882,2,37,25,-143,279,-1573,0
3533817749,3057,4053,-14823,-18,72,-21,-131,273,-1573,0
3533837738,2517,3775,-15271,104,97,-74,-143,267,-1573,0
3533857727,2650,3632,-15266,259,49,-120,-137,285,-1548,0
3533877716,3487,3847,-15073,276,-30,-71,-143,296,-1561,0
3533897705,2858,3462,-15168,177,-31,56,-131,285,-1584,0
3533917694,2585,3344,-15352,149,-77,85,-125,273,-1584,0
3533937683,2463,3402,-15268,116,-92,87,-107,279,-1559,0
3533957672,2538,3295,-15362,81,-60,84,-143,285,-1573,0
3533977661,411,-1458,-14048,-134,-32,-84,-131,255,-1598,0
3533997650,1302,2984,-16477,-655,98,186,-149,255,-1598,0
3534017639,3455,3585,-15632,146,-271,504,-161,249,-1536,0
3534037628,4323,4529,-15201,183,-322,459,-167,255,-1534,0
3534057617,4205,5326,-14884,61,-147,108,-167,249,-1534,0
3534077606,3457,4439,-15644,9,-112,-247,-155,243,-1598,0
3534097595,2800,4158,-16047,-67,-133,-311,-161,243,-1559,0
3534117584,4942,5996,-16780,-66,-563,-341,-143,255,-1559,0
3534137573,5657,3820,-14131,104,-1015,-606,-149,261,-1546,0
3534157562,2997,2696,-15839,211,-952,-783,-155,255,-1609,0
3534177551,2961,2853,-16668,236,-873,-726,-113,243,-1596,0
3534197540,2771,2761,-17811,-20,-1268,-534,-125,285,-1634,0
3534217529,2621,1528,-16368,-739,-1909,334,-96,285,-1621,0
3534237518,2475,1961,-16170,-1509,-2034,1212,-90,290,-1632,0
3534257507,946,3737,-17398,-2453,-1931,1143,-90,302,-1634,0
3534277496,-997,6724,-16742,-3256,-2295,1417,-72,320,-1657,0
3534297485,-2343,8195,-15179,-2284,-2233,459,-66,332,-1596,0
3534317474,-422,5113,-14219,-1887,-595,-375,-54,356,-1596,0
3534337463,1212,7570,-16581,-2973,-437,20,-48,380,-1548,0
3534357452,-1068,10930,-17478,-2702,-940,37,-36,385,-1548,0
3534377441,-1471,10503,-16266,-2551,-854,-277,-42,421,-1511,0
3534397430,290,11167,-14999,-2376,-306,-452,-18,421,-1450,0
3534417419,-339,11775,-14418,-2283,-49,-474,-24,439,-1413,0
3534437408,-2031,10744,-13381,-2249,-78,-395,-6,481,-1388,0
3534457397,-1447,10032,-12377,-2139,-15,-150,-18,492,-1388,0
3534477386,759,11087,-12330,-1986,-32,189,-30,510,-1313,0
3534497375,2290,11388,-14566,-401,268,726,-24,498,-1290,0
3534517364,2102,10755,-10326,1801,-389,1364,-30,486,-1338,0
3534537353,1814,11390,-9430,1584,-371,1281,-48,481,-1363,0
3534557342,1445,10703,-7996,277,-158,815,-60,463,-1411,0
3534577331,1892,9346,-5965,-465,598,459,-66,469,-1388,0
3534597320,253,10066,-6836,-698,1328,645,-78,492,-1351,0
3534617309,-929,12114,-7027,-867,1469,623,-72,486,-1326,0
3534637298,-542,11633,-6755,-928,1701,72,-113,475,-1276,0
3534657287,-1394,11200,-6388,-698,1526,-558,-113,492,-1301,0
3534677276,-3078,11176,-5881,-74,1203,-1545,-125,510,-1240,0
3534697265,-4291,10520,-4155,583,1083,-2755,-96,504,-1240,0
3534717254,-5610,10468,-4721,781,1145,-3392,-60,528,-1265,0
3534737243,-4758,10644,-6039,873,669,-2362,-30,528,-1276,0
3534757232,-6550,11085,-7214,1268,234,-917,-24,558,-1326,0
3534777221,-8023,11169,-8357,1361,-667,-1583,17,546,-1350,0
3534797210,-8412,9573,-7968,1037,-1096,-3627,29,564,-1400,0
3534817199,-9181,7116,-7587,149,-181,-5646,112,564,-1411,0
3534837188,-8235,4717,-8930,-650,1499,-5582,178,581,-1375,0
3534857177,-6497,5351,-9696,-477,2594,-3351,243,570,-1400,0
3534877166,-5729,7176,-10375,154,2489,-1803,249,575,-1448,0
3534897155,-6126,7187,-10990,595,1618,-1837,267,599,-1461,0
3534917144,-6485,5411,-11215,938,700,-2618,296,593,-1450,0
3534937133,-6821,3230,-11582,1234,476,-2668,320,558,-1486,0
3534957122,-8098,1961,-13545,1675,650,-2187,350,546,-1559,0
3534977111,-9555,993,-16543,1934,498,-1803,380,528,-1621,0
3534997100,-10657,1225,-19025,1962,393,-1412,397,510,-1682,0
3535017089,-10257,2617,-19478,1825,428,-1058,403,486,-1719,0
3535037078,-9125,4176,-18869,1686,285,-874,421,463,-1769,0
3535057067,-8847,4334,-17360,1612,257,-846,427,445,-1819,0
3535077056,-9664,2837,-15147,1648,235,-796,439,445,-1855,0
3535097045,-10676,1543,-13303,1664,386,-661,421,421,-1903,0
