Timestamp(us), yaw, pitch, roll
3891621093,-36.345556556139499,69.575066470967229,-124.93421332139407
3891641082,-36.755397780791817,69.767385766910962,-125.91739355510593
3891661071,-37.037530103124695,69.88586534315283,-126.86675824552812
3891681060,-37.291616597534926,69.989110231757778,-127.83942083356234
3891701049,-37.798320542393228,70.184347319932471,-129.11589736641724
3891721038,-38.637876899658366,70.461069188943753,-130.70497575164657
3891741027,-39.772257266750948,70.684759173670471,-132.63298621906949
3891761016,-40.841679819954464,70.948669649165851,-134.65187883695734
3891781005,-41.516524207262542,71.076103207603936,-136.50951348624645
3891800994,-42.0757368040274,71.11847835768242,-138.83034520073392
3891820983,-42.468868644801475,71.295469067472865,-141.1290446725649
3891840972,-42.308879405485939,71.576003483016976,-142.27234067979111
3891860961,-41.7600933471251,71.764999106261072,-142.30505897824972
3891880950,-41.488869749286025,71.818034266944622,-142.46261910953385
3891900939,-41.497539978566977,71.917612615045655,-143.15360869998088
3891920928,-41.458539073555819,71.992506434744385,-143.90901124538215
3891940917,-41.745941440681342,72.010346879543974,-144.78509189016773
3891960906,-42.268386288570163,71.90457516722897,-145.5504592497559
3891980895,-42.836084054075087,71.615671355232649,-146.22891063098737
3892000885,-43.42499267081827,71.311212833091062,-147.07021522976569
3892020874,-43.958866998749698,71.044266706586697,-148.03709838745513
3892040863,-44.384923091948046,70.762771865470143,-148.77839980831357
3892060852,-44.902350235797797,70.725484953894735,-149.32382413234302
3892080841,-45.005194387201641,70.674066493398357,-149.25765124443748
3892100830,-45.29166096807181,70.443384144525368,-149.45042642295297
3892120819,-45.601202463411198,70.193434660436409,-149.75464027171151
3892140808,-45.834742684478883,70.045565377344488,-149.88360464281604
3892160797,-46.045247160634979,69.809342308410038,-149.86122550624768
3892180786,-46.006083640807397,69.518498790561267,-149.64723836923773
3892200775,-45.723822555590814,69.312328649841646,-149.2311800044462
3892220764,-45.091920745244011,69.22473268019634,-148.49869508385902
3892240753,-44.365225180049279,69.195826512552543,-147.77127025731974
3892260742,-43.828068662316767,69.19240150722915,-147.28602678193747
3892280731,-43.495519493073651,69.232536028383166,-146.92195479564609
3892300720,-43.332617422096718,69.29057914651257,-146.60208868942948
3892320709,-43.472789230260346,69.187211164546852,-146.63300442143006
3892340698,-44.042739874611854,68.995438581046898,-147.19995923215544
3892360687,-44.2886981054763,68.807110200679276,-147.36972911004443
3892380676,-44.50103092184002,68.614793986894327,-147.41565604435246
3892400665,-44.721653511804391,68.406664343651002,-147.46662291141186
3892420654,-44.988239988587686,68.198277596664752,-147.58510539637166
3892440643,-45.315277310278262,67.972639417317851,-147.82186061094268
3892460632,-45.537669049224014,67.74278134723788,-148.08518619382573
3892480621,-45.729817132147012,67.472007600211057,-148.38180103398972
3892500610,-46.061676873234738,67.015327934633262,-148.78666725723031
3892520599,-46.527216702779455,66.540626188869027,-149.25224492024176
3892540588,-47.103253506535587,66.127175584935614,-149.74805189185503
3892560577,-47.804937896351205,65.557609618610513,-150.37330505388087
3892580566,-48.66257985267594,64.903708625123883,-151.15987000777946
3892600555,-49.505950650791029,64.156835074555943,-151.85175714258077
3892620544,-50.41056883172201,63.275384276513634,-152.59395001399423
3892640533,-51.445949355090498,62.388037913463748,-153.55987683371896
3892660522,-52.5409560182772,61.298270747268965,-154.70744185945799
3892680511,-53.477382949973233,60.005454596954209,-155.78611121908258
3892700500,-54.418826979475689,58.619613128356072,-156.99514228647729
3892720489,-55.214323951343808,57.105143920307754,-158.17746075668055
3892740478,-55.812135721081326,55.432619514633288,-159.28335488966695
3892760467,-56.22451572712535,53.510535768308685,-160.27759734334884
3892780456,-56.55612123880578,51.463551222327638,-161.29174749030747
3892800445,-56.765340329044683,49.366280016681216,-162.2658949976535
3892820434,-56.890481301167917,47.119899861268529,-163.14057379992033
3892840423,-56.974682727483348,44.716823234257149,-163.88813721747124
3892860412,-57.101821429202857,42.154469964664308,-164.63726656029431
3892880401,-57.245765418346068,39.424092554955116,-165.28346886008342
3892900390,-57.308830149618117,36.512511445968237,-165.83914112027847
3892920379,-57.303662485409006,33.561930134005628,-166.41686084863414
3892940368,-57.225309874468145,30.540888341228399,-166.79026101850801
3892960357,-57.154817007970308,27.414663307331114,-167.09003670228054
3892980346,-57.16748009904012,24.156694565725644,-167.41454922777555
3893000335,-57.240894161407795,20.73827154812939,-167.67561561702934
3893020324,-57.33744198792148,17.162433888736928,-167.85446774537007
3893040313,-57.440430590292053,13.473628274518644,-168.08543839466324
3893060302,-57.566839997844951,9.7019849634185462,-168.2911012966064
3893080291,-57.711853885305878,5.8665045005376086,-168.36881690921797
3893100280,-57.889254023263277,1.9442042879384058,-168.44709104505958
3893120269,-58.11819181548961,-2.060530482241024,-168.50856066783598
3893140258,-58.383851842195632,-6.1060803263803685,-168.52670293154648
3893160247,-58.683570730992386,-10.134348635441608,-168.59331115508252
3893180236,-59.071620334660466,-14.164101674852597,-168.45357897976194
3893200225,-59.545440044095358,-18.135514295568004,-168.31306949080658
3893220214,-60.125636014168251,-22.346545462780938,-168.12388500243117
3893240203,-60.818419118245345,-26.418500715800409,-167.77260241384346
3893260192,-61.583244178982348,-30.309778832088814,-167.33278937306957
3893280181,-62.434035148281779,-33.942374114761151,-166.84402400761815
3893300170,-63.381343962826868,-37.353064271778294,-166.23707048700842
3893320159,-64.389940060560519,-40.530939667109735,-165.58453432922801
3893340148,-65.407337653487119,-43.352273629219432,-164.84057370091324
3893360137,-66.352478310355295,-45.783747162915738,-163.99982140395852
3893380126,-67.203274691240679,-47.872050773282744,-163.23909490150643
3893400115,-67.956243529065816,-49.669724024533203,-162.64712096380313
3893420104,-68.56098324072434,-51.154502230101137,-162.06940457640391
3893440093,-68.949398351335944,-52.247748123902909,-161.43989156266898
3893460083,-69.04001787484701,-52.952098663554395,-161.052317330763
3893480072,-68.900684565960802,-53.330013179318676,-160.97199457072466
3893500061,-68.598040991572958,-53.380646328974052,-161.03460550845935
3893520050,-68.503746416962315,-53.43474132254466,-160.73152633151184
3893540039,-68.379338779302046,-53.263664363725724,-160.34700274333267
3893560028,-68.11656960013363,-52.858834166006659,-160.03046776870713
3893580017,-67.700793222917838,-52.221100640634255,-159.7675242230593
3893600006,-67.116284171824972,-51.236492981160836,-159.58120351192218
3893619995,-66.307486505871623,-49.807639715538478,-159.57539962879875
3893639984,-65.477991892675675,-47.977621342462577,-159.44536796812352
3893659973,-64.35920417114167,-45.352879189216935,-159.57626343015752
3893679962,-63.269158663813201,-42.385822261804421,-159.68562102937858
3893699951,-62.253177201160135,-39.133831469785193,-159.72181031390571
3893719940,-61.292766872294692,-35.570344677546338,-159.73358732688152
3893739929,-60.369980848844598,-31.68064269630943,-159.77337828479972
3893759918,-59.518776973329913,-27.507079843340964,-159.74989296515551
3893779907,-58.755429292147674,-23.17476276701364,-159.79049274656117
3893799896,-58.046054490041314,-18.735119175169711,-160.09695535565615
3893819885,-57.352176377425657,-13.659778331080926,-160.73426493119743
3893839874,-56.86358022436594,-8.5186115550601471,-160.89125656507164
3893859863,-56.413975228081505,-3.5320164238463807,-161.21174848216958
3893879852,-55.934874965522653,1.1982887349340388,-162.16873136767211
3893899841,-55.563165619347359,5.9226500690966617,-163.14208961353174
3893919830,-55.262410168925697,10.540075281984572,-163.92871294682939
3893939819,-55.011243300246946,15.119673279740512,-164.63542399941056
3893959808,-54.878714230391623,19.412991655661301,-165.04061447388062
3893979797,-54.704156727375803,23.303832837432285,-165.52614492075872
3893999786,-54.564151077831724,27.316342323546536,-166.12545617515977
3894019775,-54.452121197784571,30.927823014239014,-166.57057922203987
3894039764,-54.365096088420785,34.522804358933683,-166.99427534088693
3894059753,-54.306053977184185,37.871140033516731,-167.1966505012112
3894079742,-54.232778998094254,41.110387696957076,-167.2835535696934
3894099731,-54.097696807152488,44.233098764619676,-167.28949694193975
3894119720,-53.924206976407675,47.165270816779412,-167.27759665644896
3894139709,-53.73655315411844,49.845064289414978,-167.15005174995645
3894159698,-53.600813050745032,52.268658979949024,-166.87917199571382
3894179687,-53.476456040716357,54.540203237907008,-166.63221632641216
3894199676,-53.362324304137296,56.597670629411233,-166.36161586388138
3894219665,-53.295483076897604,58.368734160397857,-166.12098541573033
3894239654,-53.258407222401978,59.799824670325421,-165.97504594293761
3894259643,-53.311552924890364,60.880281880781943,-165.91722195753775
3894279632,-53.341254795178159,61.675114078074472,-165.86901176608851
3894299621,-53.371131441140555,62.127231621185736,-165.87632913138654
3894319610,-53.378401655607739,62.233929619735889,-165.94660702912961
3894339599,-53.341674748929698,61.992981436573665,-166.07270080249597
3894359588,-53.232652277923009,61.430843115598591,-166.15805618417195
3894379577,-53.021295704509832,60.557173620949477,-166.2037360334933
3894399566,-52.773711900814547,59.316880627036561,-166.29902872913306
3894419555,-52.499181193242798,57.688202445265823,-166.42582380970461
3894439544,-52.160193013788735,55.74046257133795,-166.56873191792738
3894459533,-51.766320636623874,53.47645716028827,-166.67089800505536
3894479522,-51.365784109516049,50.885653451562064,-166.7606881182266
3894499511,-50.978621230725814,47.970244706067824,-166.83706506514392
3894519500,-50.624823547085583,44.766244878560542,-166.93148682407096
3894539489,-50.305404077375051,41.307740672960101,-167.04711749719755
3894559478,-50.057275179308192,37.614414470674241,-167.13559469248949
3894579467,-49.901259416067099,33.690102291097823,-167.11804043850827
3894599456,-49.804378083305892,29.576269809539671,-167.0888690614392
3894619445,-49.765164981459712,25.284978498521408,-167.08131616691441
3894639434,-49.828582242368704,21.162235315942116,-167.15078936631375
3894659423,-49.964459173073344,16.946214904279238,-167.10547406639992
3894679412,-50.123983206540167,12.703121801323629,-167.01557065026293
3894699401,-50.308392249331931,8.56931469016771,-166.85810341046226
3894719390,-50.531293685737133,4.4500860710398369,-166.52660818112358
3894739379,-50.798938649705846,0.42038377014573602,-166.20882279929336
3894759368,-51.114449017557369,-3.9203715601790554,-165.90763141059352
3894779357,-51.487689909881503,-8.1573947735410908,-165.58849574707708
3894799346,-51.915815807690223,-11.995629489901329,-165.27359762307714
3894819335,-52.430235125585305,-16.032699959440638,-164.88680090326466
3894839324,-53.041974163133744,-19.976535444796529,-164.57101425556789
3894859313,-53.759720518506533,-23.758918271340018,-164.13145189263656
3894879302,-54.576831133774363,-27.336538647506785,-163.59339507741976
3894899291,-55.457645319533917,-30.683191121265171,-163.04738645152315
3894919281,-56.381491599499682,-33.78894151619636,-162.31150763766095
3894939270,-57.291555325721212,-36.708180798426092,-161.67383079273176
3894959259,-58.165999168038958,-39.416385303560524,-161.25203723934771
3894979248,-59.027522777119316,-41.95989959879082,-160.94193386115282
3894999237,-59.985050403492572,-44.729968563863608,-160.56261141103974
3895019226,-61.035040801335334,-47.275744910206491,-160.0116781512445
3895039215,-62.137319261542345,-49.521382168108438,-159.31620086849995
3895059204,-63.412470482632386,-51.709646620479965,-158.41802117447531
3895079193,-64.810791785545135,-53.530410471464222,-157.04422978095747
3895099182,-66.013816681502945,-54.788283833360403,-155.6953306782556
3895119171,-66.711155180198048,-55.512421016905627,-154.92090006401489
3895139160,-66.98023239188899,-55.622627056323893,-154.53819540088526
3895159149,-66.846650592681669,-55.236851816651729,-154.47200559001897
3895179138,-66.004702710202551,-54.131880986252526,-154.97514132601876
3895199127,-64.996063085939639,-52.657789651529981,-155.36262351885216
3895219116,-63.885889830446125,-50.814388284620243,-155.70879544878309
3895239105,-62.695020778678938,-48.631817907906068,-156.15171108025478
3895259094,-61.434291323913989,-46.050365649987675,-156.54717597084903
