Timestamp(us), mx, my, mz
3009625854,617,-387,48
3009645843,623,-381,11
3009665832,623,-363,23
3009685821,623,-363,59
3009705810,617,-363,36
3009725799,611,-363,11
3009745788,623,-393,36
3009765777,617,-375,11
3009785766,617,-381,23
3009805755,623,-375,-11
3009825744,629,-381,0
3009845733,611,-387,36
3009865722,611,-375,23
3009885711,617,-363,0
3009905700,623,-375,48
3009925689,635,-381,-11
3009945678,641,-369,23
3009965667,641,-375,-48
3009985656,653,-369,11
3010005645,665,-357,-11
3010025634,659,-345,-23
3010045623,665,-369,-36
3010065612,671,-351,-36
3010085601,671,-369,-36
3010105590,665,-345,-23
3010125579,671,-345,-48
3010145568,671,-357,-36
3010165557,659,-369,-23
3010185546,635,-369,-23
3010205535,653,-363,-11
3010225524,647,-369,-36
3010245513,647,-357,-11
3010265502,647,-363,11
3010285491,635,-375,0
3010305480,617,-351,0
3010325469,617,-369,-48
3010345458,629,-363,0
3010365447,629,-351,0
3010385437,641,-363,23
3010405426,629,-351,23
3010425415,629,-363,-11
3010445404,617,-363,0
3010465393,641,-381,0
3010485382,647,-351,-23
3010505371,629,-357,0
3010525360,635,-357,0
3010545349,617,-363,23
3010565338,635,-375,-11
3010585327,629,-363,0
3010605316,623,-357,-11
3010625305,611,-393,-23
3010645294,629,-387,23
3010665283,623,-381,-11
3010685272,641,-357,-23
3010705261,611,-387,0
3010725250,635,-381,-23
3010745239,629,-369,-23
3010765228,653,-357,-36
3010785217,653,-363,-23
3010805206,659,-369,-48
3010825195,665,-339,-59
3010845184,683,-363,-36
3010865173,677,-351,-73
3010885162,677,-357,-61
3010905151,688,-375,-36
3010925140,683,-339,-84
3010945129,694,-345,-48
3010965118,677,-363,-84
3010985107,671,-357,-48
3011005096,659,-351,-84
3011025085,683,-357,-48
3011045074,677,-375,-61
3011065063,677,-363,-61
3011085052,659,-393,-61
3011105041,653,-369,-61
3011125030,665,-351,-23
3011145019,659,-363,-11
3011165008,647,-369,-98
3011184997,647,-369,-11
3011204986,623,-369,-11
3011224975,629,-345,0
3011244964,635,-357,11
3011264953,617,-321,23
3011284942,617,-315,23
3011304931,623,-292,23
3011324920,641,-286,61
3011344909,605,-274,73
3011364898,599,-286,98
3011384887,570,-286,123
3011404876,558,-309,196
3011424865,510,-309,184
3011444854,504,-357,171
3011464843,498,-357,171
3011484832,498,-327,184
3011504821,528,-321,171
3011524810,540,-297,207
3011544799,558,-297,159
3011564788,558,-315,184
3011584777,528,-327,146
3011604766,510,-345,184
3011624755,510,-369,134
3011644744,510,-363,171
3011664733,528,-339,146
3011684722,528,-339,159
3011704711,540,-315,159
3011724700,540,-339,134
3011744689,522,-339,159
3011764678,516,-357,146
3011784667,516,-363,159
3011804656,522,-357,146
3011824645,534,-357,134
3011844635,540,-345,146
3011864624,546,-339,134
3011884613,552,-339,123
3011904602,552,-363,134
3011924591,558,-345,134
3011944580,576,-333,109
3011964569,587,-327,121
3011984558,587,-333,84
3012004547,611,-333,48
3012024536,629,-345,59
3012044525,641,-351,23
3012064514,659,-351,-23
3012084503,665,-357,-61
3012104492,688,-351,-84
3012124481,694,-357,-109
3012144470,706,-339,-184
3012164459,742,-363,-184
3012184448,730,-363,-246
3012204437,748,-381,-282
3012224426,730,-387,-294
3012244415,772,-398,-355
3012264404,766,-381,-369
3012284393,766,-410,-369
3012304382,789,-440,-428
3012324371,778,-404,-442
3012344360,789,-422,-453
3012364349,784,-434,-478
3012384338,760,-422,-478
3012404327,778,-464,-528
3012424316,784,-476,-515
3012444305,766,-464,-540
3012464294,778,-464,-528
3012484283,754,-470,-553
3012504272,760,-464,-540
3012524261,760,-458,-553
3012544250,784,-452,-626
3012564239,807,-404,-626
3012584228,801,-369,-651
3012604217,837,-321,-700
3012624206,849,-309,-700
3012644195,837,-303,-713
3012664184,831,-321,-663
3012684173,813,-315,-663
3012704162,807,-327,-615
3012724151,801,-345,-576
3012744140,813,-339,-528
3012764129,807,-309,-565
3012784118,801,-292,-601
3012804107,831,-280,-626
3012824096,831,-268,-638
3012844085,819,-309,-663
3012864074,837,-292,-775
3012884063,831,-309,-884
3012904052,831,-303,-984
3012924041,837,-297,-1032
3012944030,837,-292,-1082
3012964019,831,-315,-1130
3012984008,843,-292,-1155
3013003997,837,-309,-1119
3013023986,825,-327,-1130
3013043975,831,-357,-1082
3013063964,825,-381,-1057
3013083953,813,-387,-1046
3013103942,813,-404,-1032
3013123931,813,-428,-996
3013143920,801,-428,-1032
3013163909,807,-452,-984
3013183898,795,-464,-959
3013203887,789,-482,-959
3013223876,789,-499,-971
3013243865,772,-505,-934
3013263854,778,-541,-996
3013283843,766,-505,-996
3013303833,766,-529,-1007
3013323822,754,-529,-996
3013343811,772,-529,-984
3013363800,742,-523,-984
3013383789,748,-541,-971
3013403778,754,-553,-959
3013423767,754,-535,-984
3013443756,754,-541,-1007
3013463745,748,-547,-923
3013483734,778,-541,-996
3013503723,766,-523,-984
3013523712,772,-511,-959
3013543701,778,-488,-934
3013563690,778,-517,-923
3013583679,789,-493,-923
3013603668,795,-482,-934
3013623657,795,-482,-923
3013643646,801,-488,-934
3013663635,813,-470,-959
3013683624,795,-493,-959
3013703613,813,-470,-934
3013723602,819,-440,-946
3013743591,813,-452,-946
3013763580,825,-428,-946
3013783569,813,-458,-984
3013803558,819,-428,-971
3013823547,801,-470,-984
3013843536,825,-434,-1021
3013863525,819,-440,-1021
3013883514,825,-434,-996
3013903503,831,-428,-1032
3013923492,843,-422,-1007
3013943481,819,-410,-1032
3013963470,831,-428,-1032
3013983459,819,-422,-1032
3014003448,837,-410,-1032
3014023437,849,-410,-1094
3014043426,837,-398,-1069
3014063415,843,-410,-1082
3014083404,837,-398,-1094
3014103393,843,-387,-1107
3014123382,837,-375,-1119
3014143371,825,-375,-1130
3014163360,843,-369,-1205
3014183349,831,-363,-1180
3014203338,843,-351,-1267
3014223327,819,-363,-1278
3014243316,831,-339,-1328
3014263305,813,-351,-1365
3014283294,819,-351,-1426
3014303283,819,-369,-1401
3014323272,801,-351,-1415
3014343261,801,-357,-1463
3014363250,789,-345,-1438
3014383239,795,-345,-1426
3014403228,784,-363,-1438
3014423217,772,-351,-1463
3014443206,772,-381,-1513
3014463195,784,-369,-1488
3014483184,801,-393,-1525
3014503173,784,-416,-1500
3014523162,784,-410,-1488
3014543151,772,-422,-1550
3014563140,760,-416,-1561
3014583129,760,-422,-1586
3014603118,754,-446,-1611
3014623107,748,-440,-1636
3014643096,730,-434,-1636
3014663085,748,-440,-1600
3014683074,736,-416,-1636
3014703063,724,-410,-1586
3014723052,730,-428,-1623
3014743041,760,-404,-1600
3014763031,748,-416,-1600
3014783020,736,-422,-1623
3014803009,736,-404,-1600
3014822998,742,-410,-1636
3014842987,742,-410,-1661
3014862976,724,-428,-1684
3014882965,718,-422,-1684
3014902954,712,-410,-1648
3014922943,700,-434,-1684
3014942932,706,-428,-1709
3014962921,694,-422,-1723
3014982910,700,-428,-1684
3015002899,694,-410,-1673
3015022888,718,-428,-1661
3015042877,718,-434,-1648
3015062866,706,-440,-1636
3015082855,730,-434,-1623
3015102844,724,-416,-1623
3015122833,718,-434,-1623
3015142822,706,-458,-1625
3015162811,736,-470,-1636
3015182800,706,-452,-1623
3015202789,718,-446,-1600
3015222778,706,-452,-1611
3015242767,724,-452,-1586
3015262756,706,-464,-1586
3015282745,694,-452,-1611
3015302734,700,-452,-1600
3015322723,712,-464,-1636
3015342712,700,-458,-1623
3015362701,706,-458,-1636
3015382690,706,-446,-1623
3015402679,706,-464,-1625
3015422668,700,-458,-1661
3015442657,683,-446,-1623
3015462646,677,-446,-1709
3015482635,665,-452,-1734
3015502624,665,-452,-1709
3015522613,641,-440,-1771
3015542602,635,-452,-1771
3015562591,623,-458,-1734
3015582580,617,-452,-1784
3015602569,617,-440,-1807
3015622558,611,-446,-1807
3015642547,617,-458,-1784
3015662536,623,-446,-1796
3015682525,611,-428,-1759
3015702514,623,-452,-1771
3015722503,629,-470,-1734
3015742492,653,-446,-1771
3015762481,647,-464,-1734
3015782470,647,-452,-1759
3015802459,647,-476,-1723
3015822448,629,-464,-1673
3015842437,641,-452,-1698
3015862426,665,-452,-1698
