Timestamp(us), w, x, y, z
3004748535,0.69868408675599281,-0.66276556199495451,-0.25335551763360464,0.091615164858580261
3004768524,0.6998666215071554,-0.66196163742028613,-0.25194587003546515,0.092286408837305184
3004788513,0.70053159557730948,-0.66179998746086455,-0.25021169094956702,0.09311482109131107
3004808502,0.70110647601579545,-0.66182494901861655,-0.24816142892069881,0.094092249102970052
3004828491,0.70174420026616491,-0.66188209723658309,-0.24577554321920045,0.095192169351317191
3004848480,0.70385770972532935,-0.66041876051709081,-0.2430563583073222,0.096721207104058293
3004868469,0.7069175177849899,-0.65797589849963778,-0.24018382431293689,0.098219502038623674
3004888458,0.70996888703719707,-0.65555577104467988,-0.2372167303943444,0.099594343766079133
3004908447,0.71397084879813011,-0.65206851240421793,-0.23409782326152082,0.10124471019093197
3004928436,0.71885835950369437,-0.64747996736892965,-0.23107034952748876,0.10304777725322987
3004948425,0.72557506557401785,-0.64052978087096679,-0.22850952665539428,0.10509909734331045
3004968414,0.73290213902183243,-0.63257326226397403,-0.22648892379615249,0.1068095964021807
3004988403,0.73917287969064249,-0.62557625351485968,-0.22490053250140848,0.10815523773140998
3005008392,0.74458622052660406,-0.61943386240220788,-0.22343394859091634,0.10940896182882605
3005028381,0.7495974887774649,-0.61362384862893249,-0.2221493801617323,0.1105397218473681
3005048370,0.75449169257783788,-0.60775695231716687,-0.22120262094296159,0.1115489723356643
3005068359,0.75917126711592753,-0.60185889937095838,-0.22077534392813195,0.11261926987416755
3005088348,0.76365893572131305,-0.59601530242017686,-0.22068187250198784,0.11353545843917202
3005108337,0.76844441473120517,-0.58964612601440913,-0.22073900544092739,0.1143893308904515
3005128326,0.77312840958146367,-0.58329299684567271,-0.22083269268975103,0.11521572795510406
3005148315,0.77724308136464682,-0.57762861895171735,-0.22113491900384863,0.11548904119388169
3005168304,0.77988328432135601,-0.57393809435298915,-0.22174950393803372,0.11490989596127223
3005188293,0.78148056797015653,-0.57171215702463885,-0.22233250550958178,0.1140245078441826
3005208282,0.78291166925928679,-0.56987385648087241,-0.2223614650811,0.11335115651920796
3005228271,0.78502602185989334,-0.56740140154756546,-0.22147638350369656,0.1128627754169286
3005248260,0.7867881123042495,-0.56562050050375046,-0.21991427771842301,0.11258608351917597
3005268249,0.78820042491940989,-0.56449383519088669,-0.21789841098454676,0.11228126592960723
3005288238,0.7896218505652719,-0.56340420851405193,-0.21570157869100109,0.11200830276698243
3005308227,0.79089318833724509,-0.56241700985732201,-0.21380283546810033,0.11163968474828459
3005328216,0.79244508750585541,-0.5609446188995274,-0.21233358707771754,0.11084387946210823
3005348205,0.793438378698055,-0.56041400048818935,-0.21144295212877356,0.10809054195855766
3005368194,0.79294109793692569,-0.56214171132125856,-0.21138778257580634,0.10274393886294797
3005388183,0.79044020150166505,-0.56667880174173824,-0.21229821329681584,0.094915183914559137
3005408172,0.78574718567913149,-0.5742786375161969,-0.21345545993376289,0.085100959538249449
3005428161,0.780329439097455,-0.58282450291190024,-0.21422606296058935,0.074221016105637971
3005448150,0.77478935391188031,-0.59152392969796352,-0.21377399691875237,0.064043546910451346
3005468139,0.76815277389162895,-0.60148734396257919,-0.2126421002543048,0.054199891281035424
3005488128,0.76010847560273609,-0.61303902552733847,-0.21068440031586796,0.045059316028088998
3005508117,0.75223841672361347,-0.62424661524353509,-0.20753196566712498,0.03720229816127428
3005528106,0.74796997051264869,-0.6310729144704561,-0.20328593689345731,0.031027853525843484
3005548095,0.74730144257092113,-0.63349127850761666,-0.19879331101360959,0.026656584223261195
3005568084,0.74842410233019918,-0.63378985065604787,-0.19393058469888427,0.023721647813104381
3005588073,0.74950048661398461,-0.63388702546812892,-0.18974424995566533,0.020817759661641386
3005608062,0.7488411416087325,-0.63601211545541447,-0.1854907967213042,0.017852113593480826
3005628051,0.74651399495768578,-0.6401923047667426,-0.18069796167874203,0.014795772873035212
3005648040,0.7449484793636646,-0.64342712436482463,-0.175805273290674,0.012074957911635582
3005668029,0.74545935228549998,-0.6440920426743002,-0.17127896132435236,0.0099655437072530551
3005688018,0.74767691366321953,-0.64273068565578506,-0.16675842522008597,0.0082538542272086544
3005708007,0.75021521516556633,-0.6409629464424903,-0.1621665600380299,0.0067556663088415847
3005727996,0.75249101644103411,-0.63956845328157774,-0.15709503304722436,0.0055330221797134866
3005747985,0.75479896221653076,-0.63817517051688055,-0.15162621411016131,0.0045243305823193291
3005767974,0.75715229774440096,-0.63664622710048824,-0.1462458249519224,0.0037600828739729215
3005787963,0.7592674900589742,-0.63530607474355194,-0.14101948430333969,0.0035461218684559731
3005807952,0.76100183130039523,-0.63432104119399058,-0.13600454516973803,0.0039740595351912657
3005827941,0.76255737758969466,-0.63343160637546858,-0.13132677867810497,0.0048911276975085651
3005847930,0.763796747942184,-0.63280863199996595,-0.12701414743055209,0.0059303837789475584
3005867919,0.76467907806670343,-0.63249949247564108,-0.12313121432950956,0.0070002601989716208
3005887908,0.76552805496998289,-0.6321216005378687,-0.11968062994998335,0.0081009877233066633
3005907897,0.76685932337877305,-0.63104030186191551,-0.116743831459122,0.0092624720953427501
3005927886,0.76849124955826009,-0.62949090301538213,-0.11423890367951064,0.010577110161388997
3005947875,0.76969841805241768,-0.62834707427091796,-0.11224959653236735,0.012013641458938009
3005967864,0.76979696233435624,-0.62847493243713881,-0.11069155748601001,0.013389368179749346
3005987854,0.76909561196374665,-0.62957685632947891,-0.10910219957464969,0.014887299297521547
3006007843,0.76845411480875525,-0.63055545493516563,-0.1077572103866999,0.016324071020283049
