Timestamp(us), ax, ay, az, gx, gy, gz
3007187194,-16938,-774,-2960,605,5,8
3007207183,-16672,-945,-2921,624,-88,40
3007227172,-16525,-1039,-3128,591,-196,80
3007247161,-16154,-1039,-2925,530,-241,110
3007267150,-15936,-1002,-2473,464,-263,111
3007287139,-15762,-938,-2278,421,-288,86
3007307128,-15583,-868,-2181,400,-315,51
3007327117,-15586,-827,-1942,386,-345,18
3007347106,-15642,-883,-1879,376,-320,-16
3007367095,-15586,-901,-1843,365,-275,-54
3007387084,-15779,-969,-1800,365,-259,-97
3007407073,-16094,-1163,-1676,381,-259,-129
3007427062,-16345,-1316,-1586,400,-265,-143
3007447052,-16509,-1531,-1369,415,-230,-143
3007467041,-16542,-1617,-1375,421,-162,-133
3007487030,-16472,-1533,-1411,414,-99,-113
3007507019,-16392,-1392,-1303,416,-75,-103
3007527008,-16320,-1350,-1235,421,-66,-102
3007546997,-16200,-1344,-1160,420,-30,-105
3007566986,-16162,-1391,-1074,421,-3,-114
3007586975,-16211,-1395,-1153,414,9,-120
3007606964,-16278,-1325,-1121,397,13,-118
3007626953,-16364,-1280,-1100,378,15,-121
3007646942,-16425,-1267,-1209,363,16,-129
3007666931,-16427,-1317,-1096,359,10,-126
3007686920,-16426,-1360,-1119,360,26,-115
3007706909,-16493,-1414,-1346,354,83,-104
3007726898,-16417,-1472,-1422,349,150,-100
3007746887,-16302,-1527,-1510,344,176,-94
3007766876,-16200,-1483,-1677,327,155,-84
3007786865,-16313,-1489,-1732,304,121,-77
3007806854,-16360,-1482,-1788,284,111,-77
3007826843,-16464,-1466,-1888,263,139,-84
3007846832,-16462,-1532,-1929,234,191,-94
3007866821,-16487,-1594,-1993,193,211,-99
3007886810,-16593,-1654,-1945,156,160,-98
3007906799,-16680,-1692,-2054,125,88,-84
3007926788,-16763,-1684,-2108,94,65,-64
3007946777,-16696,-1640,-2085,63,85,-49
3007966766,-16488,-1634,-2135,29,119,-47
3007986755,-16219,-1671,-2087,2,144,-58
3008006744,-16042,-1584,-2138,-29,121,-75
3008026733,-16045,-1487,-2432,-57,85,-89
3008046722,-16290,-1563,-2779,-79,76,-99
3008066711,-16687,-1846,-2880,-104,112,-99
3008086700,-16780,-2035,-2849,-130,178,-84
3008106689,-16698,-2142,-2688,-155,224,-55
3008126678,-16499,-2364,-2365,-164,200,-23
3008146667,-16601,-2674,-2320,-163,120,6
3008166656,-17024,-2963,-2209,-165,36,19
3008186645,-17036,-3050,-1847,-162,-35,29
3008206634,-16876,-3077,-1560,-162,-100,59
3008226623,-16675,-3082,-1454,-171,-88,95
3008246612,-16234,-3041,-817,-189,-50,105
3008266601,-15953,-2729,-103,-179,-97,99
3008286590,-15925,-2296,-54,-128,-139,94
3008306579,-15850,-1832,-334,-50,-117,85
3008326568,-15689,-1494,-480,34,-4,66
3008346557,-15297,-1193,-487,121,161,38
3008366546,-15274,-1071,-983,201,261,18
3008386535,-15521,-1254,-1811,278,335,5
3008406524,-15506,-1552,-1966,330,393,-8
3008426513,-15365,-1693,-2233,340,427,-20
3008446502,-15313,-1658,-2609,320,454,-37
