Timestamp(us), yaw, pitch, roll
3004748535,28.48514383537659,-13.449732673413292,-90.406163601510471
3004768524,28.394243347700311,-13.325149584364654,-90.196654732591853
3004788513,28.297515317621023,-13.139082137117068,-90.068851561653872
3004808502,28.187431144635738,-12.910572143824153,-89.952546394710851
3004828491,28.057717776093089,-12.646261391002817,-89.823078728605779
3004848480,27.909655701887949,-12.380398465068998,-89.440297588945995
3004868469,27.732610759078245,-12.141584859489418,-88.900534396815303
3004888458,27.540606923194868,-11.902899447714416,-88.363188032938581
3004908447,27.345784430704583,-11.668041272585597,-87.65858981338242
3004928436,27.160790080807665,-11.465097430815279,-86.7973809040015
3004948425,27.009948858839966,-11.359444352721214,-85.612084474221476
3004968414,26.868695816055475,-11.353320883575613,-84.315773326439825
3004988403,26.75080388617075,-11.371052389152283,-83.195974363474932
3005008392,26.650098156356396,-11.372595015940748,-82.217280935560169
3005028381,26.560988767786807,-11.384118445322335,-81.30319591584383
3005048370,26.490503367667099,-11.43182209688166,-80.403467455979865
3005068359,26.469378550088205,-11.516538087214618,-79.530825527351666
3005088348,26.463287682368613,-11.637185165087404,-78.68734343750539
3005108337,26.456688989324761,-11.79161872199127,-77.780944186663731
3005128326,26.450605385233786,-11.949823457813171,-76.884077874427163
3005148315,26.419964437680871,-12.141786781391223,-76.097893662773288
3005168304,26.363109753366881,-12.355407355457309,-75.605181478079686
3005188293,26.29570788392282,-12.539854807963435,-75.316849022122526
3005208282,26.208792116124446,-12.649544555742636,-75.05705198292921
3005228271,26.056674290605049,-12.688620810895054,-74.664747053360045
3005248260,25.881078001115803,-12.632095295490046,-74.338304828923597
3005268249,25.677420859742924,-12.517105534325609,-74.082521024395845
3005288238,25.463997254223059,-12.38229184696876,-73.824697179987837
3005308227,25.267315958284101,-12.275600883681742,-73.596036123894734
3005328216,25.057835450498377,-12.249600630215074,-73.318785117692812
3005348205,24.72363512919841,-12.379331808904487,-73.19115549238127
3005368194,24.244699854512781,-12.692753029301096,-73.405087192780982
3005388183,23.655193416253674,-13.182014099810326,-74.046841515880672
